Description,Amount,Date
Gaming Subscription,2531,2023-10-21
Magazine Subscription,2743,2023-12-18
Music Streaming,2819,2023-09-25
Dinner Out,2435,2023-08-23
TV Subscription,641,2023-11-17
TV Subscription,1437,2023-08-21
Gaming Subscription,1993,2023-09-14
Magazine Subscription,2869,2023-11-27
OTT Subscription,325,2023-01-17
Fitness App Subscription,300,2023-02-25
Vacation Hotel,1513,2023-03-13
OTT Subscription,533,2023-12-31
Laptop Purchase,952,2023-11-15
Meal Subscription,2445,2023-07-18
Fitness App Subscription,974,2023-04-10
Gym Membership,2070,2023-07-04
Fitness App Subscription,862,2023-01-19
Music Streaming,2073,2023-01-13
TV Subscription,2739,2023-04-30
Music Streaming,1198,2023-10-02
Grocery Purchase,2835,2023-01-25
Vacation Hotel,2867,2023-11-20
Cloud Storage,1469,2023-12-14
Vacation Hotel,143,2023-06-14
Online Course,902,2023-06-10
E-Book Purchase,1205,2023-06-24
OTT Subscription,2810,2023-01-12
Grocery Purchase,2352,2023-09-05
Gaming Subscription,1252,2023-09-25
Laptop Purchase,2412,2023-08-09
Laptop Purchase,606,2023-01-27
Meal Subscription,96,2023-10-06
Vacation Hotel,808,2023-06-29
Laptop Purchase,199,2023-03-02
Dinner Out,2860,2023-05-26
Coffee Shop,508,2023-08-22
Coffee Shop,2361,2023-06-06
TV Subscription,1191,2023-01-11
Vacation Hotel,215,2023-08-13
E-Book Purchase,2930,2023-06-04
Fitness App Subscription,99,2023-09-19
Meal Subscription,1735,2023-09-11
Gaming Subscription,378,2023-10-20
Gym Membership,144,2023-04-14
Fitness App Subscription,1622,2023-05-01
E-Book Purchase,2916,2023-02-01
Dinner Out,39,2023-02-14
Grocery Purchase,2138,2023-05-25
Laptop Purchase,2102,2023-09-05
Magazine Subscription,1601,2023-06-06
Magazine Subscription,2390,2023-02-04
Gym Membership,1023,2023-10-20
Magazine Subscription,2005,2023-05-11
Meal Subscription,2693,2023-04-28
Gym Membership,194,2023-08-05
TV Subscription,966,2023-03-22
Vacation Hotel,2777,2023-09-27
Gym Membership,959,2023-01-01
TV Subscription,1787,2023-01-23
Coffee Shop,461,2023-08-29
Meal Subscription,1550,2023-04-21
OTT Subscription,478,2023-01-02
Cloud Storage,365,2023-02-10
Vacation Hotel,1890,2023-07-18
Online Course,1651,2023-06-05
Magazine Subscription,432,2023-07-19
Meal Subscription,2821,2023-06-15
Laptop Purchase,902,2023-05-14
Gym Membership,1597,2023-04-11
E-Book Purchase,77,2023-04-16
Gaming Subscription,2387,2023-02-17
Magazine Subscription,1722,2023-04-07
Magazine Subscription,455,2023-04-22
Meal Subscription,2654,2023-12-01
Gym Membership,2952,2023-07-14
Gaming Subscription,2534,2023-11-07
Grocery Purchase,1027,2023-03-16
Laptop Purchase,2627,2023-11-05
Grocery Purchase,354,2023-05-02
Gym Membership,475,2023-11-02
Laptop Purchase,984,2023-07-10
Meal Subscription,1899,2023-09-06
Grocery Purchase,2853,2023-12-22
Fitness App Subscription,2572,2023-11-07
Online Course,1605,2023-05-08
Coffee Shop,893,2023-11-04
Online Course,1473,2023-11-05
Vacation Hotel,300,2023-04-25
E-Book Purchase,2457,2023-07-11
Magazine Subscription,675,2023-05-17
Magazine Subscription,841,2023-01-25
Grocery Purchase,748,2023-02-18
TV Subscription,963,2023-05-21
Grocery Purchase,2842,2023-11-14
Laptop Purchase,607,2023-06-25
Fitness App Subscription,1656,2023-05-22
Dinner Out,2138,2023-03-23
Fitness App Subscription,608,2023-12-09
TV Subscription,1945,2023-09-18
Vacation Hotel,2294,2023-08-04
Dinner Out,705,2023-07-24
Fitness App Subscription,1600,2023-01-22
Gaming Subscription,1996,2023-10-10
Vacation Hotel,2253,2023-12-23
OTT Subscription,749,2023-08-25
Meal Subscription,1416,2023-01-27
Gaming Subscription,1132,2023-12-08
Gaming Subscription,2132,2023-11-11
Music Streaming,607,2023-10-05
Magazine Subscription,1348,2023-02-27
Meal Subscription,2686,2023-08-03
Meal Subscription,1381,2023-04-23
Meal Subscription,1748,2023-11-14
Grocery Purchase,1524,2023-08-09
Grocery Purchase,2309,2023-10-10
E-Book Purchase,1419,2023-02-26
Coffee Shop,824,2023-03-14
OTT Subscription,762,2023-03-24
Dinner Out,23,2023-06-22
Music Streaming,2523,2023-11-15
Music Streaming,2181,2023-03-04
Dinner Out,2271,2023-04-19
Gaming Subscription,365,2023-04-12
Gaming Subscription,263,2023-10-20
Music Streaming,2464,2023-10-28
Grocery Purchase,1289,2023-01-10
Meal Subscription,927,2023-02-22
Music Streaming,1872,2023-04-24
TV Subscription,1274,2023-12-29
TV Subscription,123,2023-01-21
Magazine Subscription,1476,2023-12-02
Gaming Subscription,2383,2023-01-15
Magazine Subscription,2193,2023-08-08
Gym Membership,2253,2023-12-22
Cloud Storage,124,2023-06-18
Gym Membership,2897,2023-12-20
Music Streaming,2691,2023-05-30
Online Course,1641,2023-09-21
Meal Subscription,1365,2023-06-10
Cloud Storage,356,2023-01-27
Dinner Out,91,2023-10-25
Fitness App Subscription,1408,2023-07-09
Dinner Out,978,2023-08-31
Grocery Purchase,2143,2023-12-16
